case_name,seed,run_id,run_summary_path,terminal_local_field_direction_intervention,selected_epoch,val_accuracy,test_accuracy,gate_passing_epoch_count,selected_epoch_passes_gate,selector_fallback_used,val_transported_final_energy,val_report_output_mse,test_report_output_mse,val_supervised_transport_output_mse,test_supervised_transport_output_mse,val_delta_h_rms_total,val_delta_h_rms_rowspace,val_delta_h_rowspace_fraction,test_delta_h_rms_total,test_delta_h_rms_rowspace,test_delta_h_rowspace_fraction,runtime_proxy_seconds
adopted_control,0,control_s0,tf2_runs/tf2/control_s0/summary.json,local_field_direction_angle_clip_keep_live_norm,53,0.774074074074074,0.8037037037037037,11,1.0,0.0,0.3137282688131667,0.06320277364531794,0.06274214890460197,0.05516971777538815,0.05475014631375841,0.2743618919770443,0.14641771874107942,0.5336663837896631,0.2720170006216549,0.145162582375685,0.5336526101086962,21.657074999999168
adopted_control,1,control_s1,tf2_runs/tf2/control_s1/summary.json,local_field_direction_angle_clip_keep_live_norm,56,0.8629629629629629,0.8333333333333334,23,1.0,0.0,0.2883009074387914,0.05881460861610098,0.059407377548759153,0.04967542185167584,0.050221859389637594,0.28158828725490337,0.15597799093227577,0.5539221551181891,0.2801929070279422,0.15594936227247427,0.5565785512797519,19.705640399999538
adopted_control,2,control_s2,tf2_runs/tf2/control_s2/summary.json,local_field_direction_angle_clip_keep_live_norm,51,0.7962962962962963,0.8222222222222222,18,1.0,0.0,0.3111068208914448,0.06305214040572814,0.06270885437346925,0.05318903535162648,0.05275469383534945,0.29953803360736364,0.16463456848443525,0.5496282608980444,0.301151204046549,0.1658863197417711,0.550840632588439,19.749022299998614
adopted_control,3,control_s3,tf2_runs/tf2/control_s3/summary.json,local_field_direction_angle_clip_keep_live_norm,54,0.8703703703703703,0.8518518518518519,13,1.0,0.0,0.2945268064645564,0.059640845476171794,0.05924171795683644,0.05060241450935214,0.050286298069708905,0.2872004175172255,0.15290771608757003,0.5324077082109361,0.28716323594995474,0.1506308278838342,0.5245477450674965,19.63093260000096
adopted_control,4,control_s4,tf2_runs/tf2/control_s4/summary.json,local_field_direction_angle_clip_keep_live_norm,60,0.8740740740740741,0.8592592592592593,19,1.0,0.0,0.286513578402705,0.058992928117672955,0.05840439044333632,0.05010655905977924,0.04959627805351545,0.26724609645147235,0.1481421455651277,0.5543285665615998,0.2664565202048789,0.14791672088129026,0.5551251692679797,19.522166199996718
rowspace_sensitive_terminal_angle_clip,0,rowclip_s0,tf2_runs/tf2/rowclip_s0/summary.json,local_field_direction_angle_clip_keep_live_norm_rowspace_only,53,0.7481481481481481,0.7851851851851852,24,1.0,0.0,0.3261533935359916,0.068033189898082,0.06758417480835362,0.058399269199035334,0.057945992174863625,0.2602701474784074,0.15282169810484397,0.5871656799115712,0.2583151218276822,0.15221801331543366,0.5892725607329169,19.67051580000043
rowspace_sensitive_terminal_angle_clip,1,rowclip_s1,tf2_runs/tf2/rowclip_s1/summary.json,local_field_direction_angle_clip_keep_live_norm_rowspace_only,56,0.8,0.7962962962962963,26,1.0,0.0,0.29591805718193837,0.06125463222841075,0.061603168906807775,0.05063457439803959,0.05097464030020221,0.2912795308590762,0.17581024571713627,0.6035791296374854,0.2909944057213185,0.17613556514616327,0.6052884924353013,19.935908700001164
rowspace_sensitive_terminal_angle_clip,2,rowclip_s2,tf2_runs/tf2/rowclip_s2/summary.json,local_field_direction_angle_clip_keep_live_norm_rowspace_only,45,0.762962962962963,0.725925925925926,28,1.0,0.0,0.33112682730572623,0.06823356111807904,0.06809815073298475,0.057288303712712825,0.05704064767926053,0.29784203432778616,0.17867901862814753,0.5999120272980162,0.2999377400556553,0.18009392376640382,0.6004376899452075,19.726837099999102
rowspace_sensitive_terminal_angle_clip,3,rowclip_s3,tf2_runs/tf2/rowclip_s3/summary.json,local_field_direction_angle_clip_keep_live_norm_rowspace_only,50,0.8407407407407408,0.8111111111111111,23,1.0,0.0,0.313208186171714,0.06550745406537627,0.06498739203389801,0.055240368821722646,0.0548287315597706,0.27092585070077907,0.16018353190733775,0.5912449162492457,0.27041977743695395,0.15797727696910338,0.58419276306791,19.76389620000191
rowspace_sensitive_terminal_angle_clip,4,rowclip_s4,tf2_runs/tf2/rowclip_s4/summary.json,local_field_direction_angle_clip_keep_live_norm_rowspace_only,52,0.8296296296296296,0.8296296296296296,27,1.0,0.0,0.31509152247287253,0.06591373712215001,0.06534730768413934,0.055855678873045815,0.0553417574646607,0.2665018904389719,0.1579091262543474,0.5925253512995552,0.26512009794023944,0.157398075692404,0.593685944276782,19.599122499999794
rowspace_sensitive_terminal_hard_replace_upper_bound,0,rowhard_s0,tf2_runs/tf2/rowhard_s0/summary.json,local_field_direction_hard_replace_keep_live_norm_rowspace_only,53,0.7407407407407407,0.7962962962962963,23,1.0,0.0,0.3237456714087105,0.06714376855147182,0.06655872630882911,0.05787381756196578,0.05730049036876098,0.261149590584085,0.15436544631973353,0.5910997063961735,0.25877869826427274,0.15346677828296232,0.593042546826004,18.60935089999839
rowspace_sensitive_terminal_hard_replace_upper_bound,1,rowhard_s1,tf2_runs/tf2/rowhard_s1/summary.json,local_field_direction_hard_replace_keep_live_norm_rowspace_only,56,0.8629629629629629,0.8296296296296296,26,1.0,0.0,0.29448786607947375,0.06004105582878565,0.06058072604931841,0.049645042053693446,0.05017625026491844,0.303135341198154,0.17462923401009015,0.5760767890667629,0.30328298611052945,0.17520274860500323,0.5776873633826323,18.768119000000297
rowspace_sensitive_terminal_hard_replace_upper_bound,2,rowhard_s2,tf2_runs/tf2/rowhard_s2/summary.json,local_field_direction_hard_replace_keep_live_norm_rowspace_only,56,0.774074074074074,0.7925925925925926,26,1.0,0.0,0.304134868863821,0.06357444684882574,0.06318698695686106,0.05204392555281306,0.051605635597751276,0.29517286239057805,0.18024361912973497,0.6106375012592904,0.29745866630865747,0.1820285258964611,0.6119456130001588,18.425914999999804
rowspace_sensitive_terminal_hard_replace_upper_bound,3,rowhard_s3,tf2_runs/tf2/rowhard_s3/summary.json,local_field_direction_hard_replace_keep_live_norm_rowspace_only,58,0.8444444444444444,0.8333333333333334,21,1.0,0.0,0.29622441127364674,0.06194118666141239,0.0613382885306355,0.051618862248217476,0.05116131686509755,0.2750263193154016,0.16243717086048798,0.5906240946860224,0.2748627227447581,0.16053817346887372,0.5840667365357944,18.385025499999756
rowspace_sensitive_terminal_hard_replace_upper_bound,4,rowhard_s4,tf2_runs/tf2/rowhard_s4/summary.json,local_field_direction_hard_replace_keep_live_norm_rowspace_only,59,0.8296296296296296,0.8222222222222222,26,1.0,0.0,0.30163191879571394,0.0637297284138702,0.06312274191384587,0.053335822305109665,0.0528321766212295,0.2632117365935088,0.15716447481450116,0.5971028376185906,0.26245262390181007,0.15616279263535693,0.5950132649227436,18.732017300000734
