run_index,case_name,seed,run_id,run_summary_path,refit_basis,readout_refit_selected_ridge,readout_refit_selection_val_accuracy,readout_refit_selection_val_output_mse,readout_refit_solver,selected_epoch,val_accuracy,test_accuracy,val_report_output_mse,test_report_output_mse,val_supervised_output_mse,test_supervised_output_mse,readout_refit_runtime_seconds,runtime_proxy_seconds
0,adopted_control,0,adopted_s0,tf2_runs/tf2/adopted_s0/summary.json,none,,,,,53,0.774074074074074,0.8037037037037037,0.06320277364531794,0.06274214890460197,0.05516971777538815,0.05475014631375841,0.0,20.12951370000519
1,transported_endpoint_readout_refit,0,adopted_s0,tf2_runs/tf2/adopted_s0/summary.json,transported_endpoints,0.0001,1.0,0.0014256188326051522,ridge_closed_form,53,0.36666666666666664,0.362962962962963,0.08959537353252645,0.08898718142452029,0.0014256188326051522,0.0014861982530090438,0.02710769999976037,20.15662140000495
2,slow_pc_endpoint_readout_refit,0,adopted_s0,tf2_runs/tf2/adopted_s0/summary.json,slow_pc_endpoints,0.0001,0.9518518518518518,0.030156132235479277,ridge_closed_form,53,0.9518518518518518,0.9777777777777777,0.0305381009597327,0.027700028661492557,0.030156132235479277,0.02731730705255335,0.02514789999986533,20.154661600005056
3,adopted_control,1,adopted_s1,tf2_runs/tf2/adopted_s1/summary.json,none,,,,,56,0.8629629629629629,0.8333333333333334,0.05881460861610098,0.059407377548759153,0.04967542185167584,0.050221859389637594,0.0,20.92997650000325
4,transported_endpoint_readout_refit,1,adopted_s1,tf2_runs/tf2/adopted_s1/summary.json,transported_endpoints,0.0001,1.0,0.001820844505639361,ridge_closed_form,56,0.5962962962962963,0.6,0.07179479389733268,0.07027959072116023,0.001820844505639361,0.0017693417117053733,0.02453080000123009,20.95450730000448
5,slow_pc_endpoint_readout_refit,1,adopted_s1,tf2_runs/tf2/adopted_s1/summary.json,slow_pc_endpoints,0.0001,0.9444444444444444,0.0292983636049675,ridge_closed_form,56,0.9481481481481482,0.9592592592592593,0.029606432172877343,0.027467228634014206,0.0292983636049675,0.027179903463911404,0.02525450000030105,20.95523100000355
6,adopted_control,2,adopted_s2,tf2_runs/tf2/adopted_s2/summary.json,none,,,,,51,0.7962962962962963,0.8222222222222222,0.06305214040572814,0.06270885437346925,0.05318903535162648,0.05275469383534945,0.0,20.894484500004182
7,transported_endpoint_readout_refit,2,adopted_s2,tf2_runs/tf2/adopted_s2/summary.json,transported_endpoints,0.0001,1.0,0.0012609807677063049,ridge_closed_form,51,0.43703703703703706,0.3962962962962963,0.08106894718183079,0.08157821885885423,0.0012609807677063049,0.001259090510583504,0.02681220000158646,20.92129670000577
8,slow_pc_endpoint_readout_refit,2,adopted_s2,tf2_runs/tf2/adopted_s2/summary.json,slow_pc_endpoints,0.01,0.937037037037037,0.03174852594125556,ridge_closed_form,51,0.937037037037037,0.9481481481481482,0.03218106225446252,0.028949791471953538,0.03174852594125556,0.0285493577897185,0.026947000002110144,20.921431500006292
9,adopted_control,3,adopted_s3,tf2_runs/tf2/adopted_s3/summary.json,none,,,,,54,0.8703703703703703,0.8518518518518519,0.059640845476171794,0.05924171795683644,0.05060241450935214,0.050286298069708905,0.0,20.90466390000074
10,transported_endpoint_readout_refit,3,adopted_s3,tf2_runs/tf2/adopted_s3/summary.json,transported_endpoints,0.0001,1.0,0.0020394710990894586,ridge_closed_form,54,0.4888888888888889,0.5111111111111111,0.10248899818838973,0.09987199103275042,0.0020394710990894586,0.0020374697410735078,0.02395500000056927,20.92861890000131
11,slow_pc_endpoint_readout_refit,3,adopted_s3,tf2_runs/tf2/adopted_s3/summary.json,slow_pc_endpoints,0.01,0.9518518518518518,0.028926432603437614,ridge_closed_form,54,0.9518518518518518,0.9518518518518518,0.02917683248638002,0.029085571156729835,0.028926432603437614,0.02881145136325683,0.025855699997919146,20.93051959999866
12,adopted_control,4,adopted_s4,tf2_runs/tf2/adopted_s4/summary.json,none,,,,,60,0.8740740740740741,0.8592592592592593,0.058992928117672955,0.05840439044333632,0.05010655905977924,0.04959627805351545,0.0,21.253823699997156
13,transported_endpoint_readout_refit,4,adopted_s4,tf2_runs/tf2/adopted_s4/summary.json,transported_endpoints,0.0001,1.0,0.0021621482574413864,ridge_closed_form,60,0.5333333333333333,0.5148148148148148,0.07763422732842808,0.07799285935641066,0.0021621482574413864,0.0019905586621554523,0.02667970000038622,21.280503399997542
14,slow_pc_endpoint_readout_refit,4,adopted_s4,tf2_runs/tf2/adopted_s4/summary.json,slow_pc_endpoints,0.01,0.9555555555555556,0.026406814972490127,ridge_closed_form,60,0.9555555555555556,0.9555555555555556,0.026688047325275598,0.02650929647051781,0.026406814972490127,0.026290842137573142,0.031548700000712415,21.28537239999787
