epoch,stage,lambda_id,train_total_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
1,warmup,0.0,4.057515622250185e-06,4.057515622250185e-06,6.740039214905508e-06,0.495335591577503,0.48318977142214664,-9.36107758132132e-05,-4.769871883703427e-07,0.4831831468482471,-0.00010023534971276282,-5.096843713397006e-07,0.1037037037037037,0.09665667643959197
2,warmup,0.0,4.04222327940845e-06,4.04222327940845e-06,6.743859643590281e-06,0.47573674806048283,0.46797862126360545,-9.988589054404917e-05,-5.163712835207126e-07,0.4679723412531078,-0.00010616590104167711,-5.483573175326132e-07,0.1,0.0936157014308299
3,warmup,0.0,4.0245155409810135e-06,4.0245155409810135e-06,6.736126726537253e-06,0.46309054979151343,0.4579587031355777,-0.00010702574098109263,-5.589581021185066e-07,0.4579527671028286,-0.00011296177373015803,-5.897066476646766e-07,0.1,0.09161314577531175
4,transition,0.011731042782619834,4.091823028251637e-06,4.0128328211798085e-06,6.7334344043869565e-06,0.45472693544751036,0.45121892950783066,-0.0001132693447383204,-5.957767198415105e-07,0.4512131091805637,-0.0001190896720053014,-6.261774174679143e-07,0.11851851851851852,0.0902664397705138
5,transition,0.08826895721738015,4.571965389582464e-06,3.981627658656485e-06,6.687942732484673e-06,0.44898779739867917,0.4464437683389386,-0.00011979067521494802,-6.330919260818103e-07,0.4464381194330252,-0.0001254395811283726,-6.62686055094558e-07,0.13333333333333333,0.08931271180283072
6,transition,0.1,4.624260094674126e-06,3.958434856864891e-06,6.658252378092354e-06,0.4447638878921266,0.44289899842788516,-0.0001262373008749651,-6.691890486919196e-07,0.4428935413817987,-0.00013169434696141957,-6.977542311314858e-07,0.14444444444444443,0.08860504714575203
7,hybrid,0.1,4.576235890243689e-06,3.916450365771194e-06,6.59785524472495e-06,0.4415585202416448,0.4401272451455422,-0.00013216861076381647,-7.017523825151824e-07,0.4401219768498472,-0.0001374369064587877,-7.292447041660956e-07,0.15925925925925927,0.0880518827512612
8,hybrid,0.1,4.5316455646030625e-06,3.878060338735125e-06,6.53585225867938e-06,0.4390516727436511,0.43784358076284285,-0.00013797064009835047,-7.327973991315938e-07,0.4378385009060237,-0.00014305049691748506,-7.591802342775324e-07,0.17037037037037037,0.08759631028058823
9,hybrid,0.1,4.477606959473698e-06,3.831194158755599e-06,6.464128007180991e-06,0.4368936963048983,0.4358684565603475,-0.00014323013892503234,-7.602416703738301e-07,0.435863524525169,-0.00014816217410351662,-7.857168333252017e-07,0.2074074074074074,0.0872023373398545
10,hybrid,0.1,4.419680156919347e-06,3.7813522621434206e-06,6.383278947759268e-06,0.4348803394108732,0.43408270441441343,-0.00014832392278368856,-7.861152842997276e-07,0.4340779142647754,-0.00015311407242174502,-8.107097325145266e-07,0.24444444444444444,0.08684620566743943
11,hybrid,0.1,4.365545719781171e-06,3.7346496647377025e-06,6.308960550434681e-06,0.4330726779911204,0.43242797871910504,-0.00015346171678659593,-8.116295308970597e-07,0.43242336143560467,-0.0001580790002869703,-8.351649254451012e-07,0.26296296296296295,0.08651628808717833
12,hybrid,0.1,4.3115968334346865e-06,3.6882555737398325e-06,6.233412596948536e-06,0.43155767949705537,0.4308692037514058,-0.00015786026169051226,-8.325290885253329e-07,0.4308646349799864,-0.00016242903310992318,-8.556770074017361e-07,0.2814814814814815,0.08620541280261927
